filename	version	platform	release date	sha1
ScoreSaber-2.1.8-steam.dll	2.1.8	steam	2019-06-11T15:31:06.272Z	0f4c8c58655b5e07f53d941f5236f8248c9dae0d5a2aa18ac26be02df3526feb
ScoreSaber-2.1.8-oculus.dll	2.1.8	oculus	2019-06-11T15:31:06.272Z	fe84a8adcdbef05503abb52c244240fc87b78e6899df1cde8fd8b3c8c5d5df32
ScoreSaber-2.1.9_1-steam.dll	2.1.9_1	steam	unknown	a189cd80dad80bb81935108a05ecdf6c05c5a9e5271f97df771cdaa4925edbaf
ScoreSaber-2.1.9_1-oculus.dll	2.1.9_1	oculus	unknown	b61ebe68263b005b748cc92aaef503aa9340104edc2572151e9e4b6d37d35206
ScoreSaber-2.1.9_2-steam.dll	2.1.9_2	steam	unknown	723687bedbd8d19a9ea15ac251eec4f57a945327d360fd251a3f72692c78a569
ScoreSaber-2.1.9_2-oculus.dll	2.1.9_2	oculus	unknown	bd61e93a53eaf3b3db2cbad98a95627680511fd8bd55fade2616ab36650d53c7
ScoreSaber-2.2.0-steam.dll	2.2.0	steam	2019-08-29T19:09:01.032Z	9f85c3d4c55c961ee1e200881488d7647d6d3d5a80ff0068903ac1e00b9dd3d7
ScoreSaber-2.2.0-oculus.dll	2.2.0	oculus	2019-08-29T19:09:01.032Z	cbd4278480dc7d41dce7f0592cb61ad5d2123858eb9bcc1bec27f899d6fbb835
ScoreSaber-2.2.1.dll	2.2.1	universal	2019-12-13T14:35:06.513Z	1491a60db73ec2dfbaacb68648f6016eb30dde44cb68e25ee7d4a13c6a0067ff
ScoreSaber-2.2.2.dll	2.2.2	universal	2019-12-13T14:44:54.673Z	80e4492e78a8d642215273bd7666284115cff7080c621885824f279b48108955
ScoreSaber-2.2.3.dll	2.2.3	universal	2019-12-13T16:00:28.390Z	0f26e33cf6c6813a71ecb4464d82eb39d2dced056c1d0ff0d7fa1911e6a928ac
ScoreSaber-2.2.4.dll	2.2.4	universal	2019-12-13T17:48:32.453Z	648ae39645c271fe24ecb644edb122930da40a4b54a865c313e99752a577b101
ScoreSaber-2.2.5.dll	2.2.5	universal	2019-12-15T19:46:08.991Z	c4f2ae57cf91dbed7dde68f40ff7eefb9d4eaf5752d007bd85fc440b59a13677
ScoreSaber-2.2.6.dll	2.2.6	universal	2019-12-15T22:16:04.606Z	fb90d41fe3b7ddc22be65de835d5daed32ad618202c46fbe9afbf53c67c328da
ScoreSaber-2.2.7.dll	2.2.7	universal	2020-01-09T16:48:54.826Z	92c37afdc6b069bd9a0b10d011594a876c627fab86be53ed2a3d12e02a3f2c63
ScoreSaber-2.2.8.dll	2.2.8	universal	2020-01-20T18:50:16.210Z	0d412f31684c016cff9739d1867ab6065f0d0cb32d4d5a2bfdd12d4f81a229a7
ScoreSaber-2.2.9.dll	2.2.9	universal	2020-01-21T17:20:13.384Z	0abafc190c2bf94e71b9ff74460d15ec48f14da35843dae000d33cde5d898d5c
ScoreSaber-2.3.0.dll	2.3.0	universal	2020-03-26T23:50:49.082Z	e5dff218bc27f1f1b5769ea2ac7131805cd7d346d5da0abf0890b606f3db549e
ScoreSaber-2.3.1.dll	2.3.1	universal	2020-03-30T18:22:12.839Z	0160a0967113edd94ad4020a6f1f09b6119ba232ad075b430a24bcb0b1d5c07e
ScoreSaber-2.3.2.dll	2.3.2	universal	2020-05-25T18:33:33.374Z	010ad2562c12530e951bc51f7d948e034a7ec35293ff45bc3fc1137a980a8c47
ScoreSaber-2.3.4.dll	2.3.4	universal	2020-05-28T16:36:29.772Z	f38d5d26e20c92aa8215229a8f3d1728cdbe1ac56884abc155690deaf5d8163b
ScoreSaber-2.3.5.dll	2.3.5	universal	2020-08-18T08:10:13.983Z	7f9f78894553bc1f5f58991f162832ef450c2acb6f54fd2c912e7fa9a87e9444
ScoreSaber-2.3.6.dll	2.3.6	universal	2020-10-22T00:43:02.236Z	0ae2ea10ef59c5a585d1cc37a28a6dfb9d9d194c6b186168990dec8b5ee9fc86
ScoreSaber-3.0.0.dll	3.0.0	universal	2021-01-22T05:55:12.604Z	5c417e0957068de368c47f9ee77bbd4e392bdc0613c0fd2d2861a06e824c0be1
ScoreSaber-3.0.1.dll	3.0.1	universal	2021-01-22T08:52:33.237Z	d904d67531071c464a9375bf0d435a957aea8f20160ab2cf1086139cf11f676e
ScoreSaber-3.0.2.dll	3.0.2	universal	2021-01-25T23:44:20.118Z	e514dd0e7e8f225cb1036af90c1de684889bb9f12b4023ab859f332f46fdeaa4
ScoreSaber-3.0.3.dll	3.0.3	universal	2021-03-10T08:26:35.348Z	a2b016a2f82afe726973d57567101910bb7cafda7358718cd70de22c65a65a32
ScoreSaber-3.1.0.dll	3.1.0	universal	2021-06-02T07:40:13.280Z	044ad7510ec660a75ee9448363dbfc1c283c9bcba600420b7fda83339bae3f85
ScoreSaber-3.1.1.dll	3.1.1	universal	2021-06-04T03:48:40.945Z	b424c7c90646f92a7269dbba834d6511d10affd54cf2c95344c1b78f151fd5b2
ScoreSaber-3.1.2.dll	3.1.2	universal	2021-07-21T04:50:36.753Z	761d1ec73b645abfcdd3ebc65a5d4f40fd8aaecc111a0c89fe533db4f138c2a8
ScoreSaber-3.1.4.dll	3.1.4	universal	2021-07-26T19:30:35.131Z	a1997a5636dacd8323540f3e304b7c5899fa5a18d46066c53c7a522400d19716
ScoreSaber-3.1.5.dll	3.1.5	universal	2021-07-26T19:44:20.691Z	ff9cefa2266d25e8b4b20d53edee7eff7d197957101e8614c7064f50ea8ca13d
ScoreSaber-3.1.6.dll	3.1.6	universal	2021-07-26T20:08:19.611Z	08bd46b4d23b6d91b75c1797e4898202aa1338e4150c1ccc79c8d188cf2c96d4
ScoreSaber-3.1.7.dll	3.1.7	universal	2021-07-26T20:43:33.352Z	457fa1df094e1e3264bb24a34153e7edfe148eac1fe196ebae800fe570c32e48
ScoreSaber-3.1.8.dll	3.1.8	universal	2021-07-26T21:07:01.597Z	c1c50a1e86f4c931825eb8e8f810069ac45bf64ae3e5d108d2e38ac2214f6c12
ScoreSaber-3.1.9.dll	3.1.9	universal	2021-09-01T20:42:48.132Z	5fee7aa6eb512971981640e2c84beadf649e72d2c6086b4a07a60660005e0410
ScoreSaber-3.1.10.dll	3.1.10	universal	2021-09-26T02:06:41.415Z	ed2216bbd725628f761d56fcadd824023e3156fd699933029e78bea1cc22ce64
ScoreSaber-3.1.11.dll	3.1.11	universal	2021-12-22T04:42:51.203Z	9950afa64bd25fe793b6a22776ecd255c68490090c9f944a0a38e90556aec57e
ScoreSaber-3.2.0.dll	3.2.0	universal	2022-03-22T12:03:58.808Z	30523c3ecf72f738ef40e694b0be2a4dddda6bab00e106cfdefbf3dc6eb54d6e
ScoreSaber-3.2.1.dll	3.2.1	universal	2022-03-22T15:33:32.187Z	1815b43b2df55fb34c61b320bf43a6283245807e511fbb9f42654a98254b552c
ScoreSaber-3.2.2.dll	3.2.2	universal	2022-03-22T17:47:35.752Z	3d29bd7c8f2587dc8a2b55879f7e5e5a456e84e7289c6ca26ffc91bf0da7d2c1
ScoreSaber-3.2.3.dll	3.2.3	universal	2022-03-23T08:58:59.919Z	dfad292a0f1680a6e7c90bf0a17d752188013a7292098ad921d6551f21584c21
ScoreSaber-3.2.4.dll	3.2.4	universal	2022-03-26T16:50:23.229Z	0eacc99eb107e4d9cb2e7e25a02463466b4caf758bdadb0a4a74a516c633d59f
ScoreSaber-3.2.5.dll	3.2.5	universal	2022-04-01T17:17:15.166Z	4bde025c82b9bc79c37bf2b2b8c516a035fa28b58f0c33a027313ec2757f6e4d
ScoreSaber-3.2.6.dll	3.2.6	universal	2022-04-01T17:23:58.085Z	bea09e016a5560af38ed9b6d3d01449fad885ca787a24effcb0ad5a025a34796
ScoreSaber-3.2.7.dll	3.2.7	universal	2022-04-17T15:44:00.584Z	17b768ab9435d5bd5d4f7f2b81113817bbc8b9aed57917d5e072996e781e3c95
ScoreSaber-3.2.8.dll	3.2.8	universal	2022-04-17T18:34:01.777Z	cfb52d7599008cfe8bc7463d92ad989da592b695e746a097dc30d169f1de89e4
ScoreSaber-3.2.9.dll	3.2.9	universal	2022-04-28T23:41:05.297Z	b5b4942aa51a54efb7c4b46b1953c86606af6cad65ead80e84743dfced7866d1
ScoreSaber-3.2.10.dll	3.2.10	universal	2022-07-06T01:33:54.011Z	54a33b4f25ede92fc02dfdddaa8b9aa92941c6211309c5ce475f986ea85b26ce
ScoreSaber-3.2.11.dll	3.2.11	universal	2022-10-11T10:40:02.450Z	0c60edf19bfb076d3fef98dd9e07d077a86bd1db3ba12b2643d52e0c6fc8021b
